name,price,status,shipping,free_returns,items_sold
Canned Critters Stuffed Animal: Skunk 6'',1499,Brand New,0,True,
Douglas Smokey Gray Cat Plush Stuffed Animal,3045,Brand New,0,True,4
"Lubies - Longhorn Plush Stuffed Animal ""TEXAS""",350,Brand New,380,True,
Douglas Cuddle Toys Tug the Black Cat # 4507 Stuffed Animal Toy,1945,Brand New,0,True,
Homestuck Mini Mayor Limited Edition Stuffed Animal Plush Plushie Toy Brand New,2799,Brand New,0,True,
"16"" Plush Catfish stuffed animal",1695,Pre-Owned,0,True,
"ADORE 21"" Pogo the Bearded Dragon Lizard Stuffed Animal Plush Toy",2299,Brand New,0,True,280
"New ListingNew Ghostbusters Screaming Ghost Plush Stuffed Animal 7"" Cute Gift",1585,Brand New,0,True,
White Bunny Stuffed Animal Plush Toy | Personalized | Printable Ears,1999,Brand New,0,True,
New ListingEnchantimals Peacock 8” Plush Stuffed Animal Blue Purple Bird 2017,800,Pre-Owned,445,True,
 Axie the Axolotl Salamander Stuffed Animal Plush Toy,1699,Brand New,0,True,
"ADORE 13"" Standing Cory the Farting Corgi Dog Stuffed Animal Plush Toy",1999,Brand New,0,True,127
Gitzy Sammy Sloth Stuffed Animal 18” Large Plush Toy For Boys Girls Kids Adults,1600,Brand New,0,True,
"Douglas Toowoomba Wombat Plush Stuffed Animal Toy 10"" L",1395,Brand New,0,True,5
"Zamazenta Crowned Shield Form Plush Doll Soft Toy Teddy Stuffed Animal 12""",2850,Brand New,0,True,
New ListingGreen Sea Turtle Plush Stuffed Animal Toy 12 Inches B2,1199,Pre-Owned,0,True,
New ListingSquishmallows 4.5” Holiday “Hank The Scarecrow” Plush Animal by Kellytoy,2350,Pre-Owned,550,True,
NWT Dashing Sloth Class of 2021 Graduation Plush Stuffed Animal 18” Inches Tall,1950,Brand New,0,True,
Arsenio the Anteater | 20 Inch Large Anteater Stuffed Animal Plush,2499,Brand New,0,True,
Bob the Boxer | Over 2 1/2 Foot Long Big Stuffed Animal Plush Dog,5999,Brand New,0,True,69
"New ListingKellytoy Squishmallow 16"" Tracey the Zebra Hot Pink Stuffed Animal Plush",3499,Pre-Owned,550,True,
"Togepi Plush Doll Soft Toy Stuffed Animal Teddy 6""",1099,Brand New,0,True,
"New ListingVintage Hallmark Reindeer Rhonda - 13"" Plush Stuffed Animal with Dotted Skirt",800,Pre-Owned,895,True,
"New ListingFluff N Stuff White Cat Mistee Purple Unicorn Lylac Plush Stuffed Animal 6"" New",1550,Brand New,549,True,
"Fiesta Toys North American Animal White Squirrel 6"" Plush Stuffed Animal A57935",1699,Brand New,0,True,
"New Listing13"" Woolly Mammoth Plush Stuffed Animal A2",1152,Pre-Owned,0,True,
"Shiny Ash-Greninja Plush Soft Toy Doll Stuffed Animal Teddy 11""",1649,Brand New,0,True,
"Wishpets Stuffed Animal - Soft Plush Toy for Kids - 12"" Floppy Billy Goat Spo...",1455,Brand New,0,True,
"Squishmallow 14"" Inch Carol the Christmas Tree NWT 2021 ",2999,Brand New,799,True,18
"Harper The Giraffe Plush Stuffed Animal Soft Pink - Soft & Cozy - 9""",799,Brand New,0,True,31
Bear Key Chain Brown 11cm Stuffed Animal Plush Kids Doll Gift Toys,499,Brand New,0,True,
Minecraft Brown Red Game Jinx Llama Plush Stuffed Animal Toy Mojang,1999,Brand New,400,True,
