name,price,status,shipping,free_returns,items_sold
Pokemon Leaf Green LeafGreen Game Boy Advance GBA,1899,Brand New,0,True,
"Sony PS Vita Various Used Games w/case JAPAN Import, Authentic Memory Card",899,Pre-Owned,0,True,23
Operation Game,1899,Brand New,0,True,
PAPER MARIO Game Cartridge Card for Nintendo 64 N64 Console US Version,2783,Brand New,0,True,
208 in1 Video Games Cartridge Cards For DS NDS 2DS 3DS NDSI NDSL Gift Pokemon,2099,Brand New,0,True,236
NBA 2K22 (PS4) NEW,5338,Brand New,0,True,11
The Pathless Playstation 5 PS5 BRAND NEW SEALED FAST SHIP🚚💨 Sony Game ,2199,Brand New,0,True,
Mortal Kombat 11 Ultimate (PS4 PlayStation) ,3599,Brand New,0,True,
New Super Mario Bros. 2 Nintendo 3DS / 2DS ** GAME CARTRIDGE ONLY **,1497,Pre-Owned,0,True,174
Pokemon Home Complete set of Gen 1-7 Mythical (24 Pokemon),349,Brand New,0,True,1181
Turok - Xbox 360,807,Pre-Owned,0,True,
"Shin Megami Tensei: Persona 3 FES (PS2, PlayStation 2, 2008)",3499,Brand New,0,True,
Gardening Mama - Nintendo DS Game Only,537,Pre-Owned,395,True,
Zombie Army 4 Steelbook (No Game),2000,Brand New,930,True,
🔥 x10 Random Steam Keys AAA Premium Video Game PC Fast Delivery [Region-Free],444,Brand New,0,True,265
(PS4/5 PC XBOX) Borderlands 3 LEVEL 1 GODMODE MODDED WEAPONS & GEAR,299,Brand New,0,True,22
Friday the 13th The Game - Ultimate Slasher Edition XBOX ONE,2499,Brand New,0,True,
Super Mario 3D All-Stars Nintendo Switch ,5399,Brand New,0,True,183
Lot of 15 Random Game Boy Advance Games,3995,Pre-Owned,0,True,146
Mega Man Battle Network Collection Game Boy Advance GBA 12-in-1 cart 2 3 4 5 6,2974,New (Other),0,True,
Just Dance 2021 Nintendo Switch [Brand New],2965,Brand New,0,True,
PlayStation 3 Games You Pick & Choose Video Game Lot - PS3,199,Pre-Owned,475,True,
Buy 3 Get 4th Free!!! Sony PS2 Playstation 2 Game Lot Disc Only Pick And Choose,299,Pre-Owned,399,True,
Call of Duty: Black Ops II - Xbox 360 Game - Complete & Tested,1695,Pre-Owned,0,True,
DITTO JAPANESE 🌟 SHINY 🌟 6IV MASUDA METHOD ANY BALL - POKEMON SWORD AND SHIELD,199,New (Other),0,True,93
ZARUDE + CELEBI 🌟 SHINY 🌟 UNTOUCHED BATTLE READY - POKEMON SWORD AND SHIELD,199,New (Other),0,True,
PS4 Super Robot Wars 30 - Playstation 4,6399,Brand New,0,True,
Shiny Zacian and Zamazenta [BOTH] CODES - Pokémon Sword & Shield,150,Brand New,0,True,146
Diablo 2 Resurrected Ohm Rune D2R PC Diablo II Rune Ohm,2700,Brand New,0,True,
"Castlevania: Order of Ecclesia(Nintendo DS, 2005)Game Card Only,Tested & Working",1499,Brand New,0,True,27
Star Wars Jedi: Fallen Order for PlayStation 5 [New Video Game] Playstation 5,2394,Brand New,0,True,
Mario Kart 64 Video Game Cartridge  US Version FREE SHIPPING!!!,2399,Brand New,0,True,
Brawlhalla game Brawlhalla: Shogun´s Pack (Region free),199,Brand New,0,True,
Shantae Pirate's Curse Gold Edition (Nintendo Switch) Holographic Cover Variant,1999,Brand New,955,True,7
"Shin Megami Tensei IV (Nintendo 3DS, 2013)",4999,Brand New,0,True,
Pokemon Heart Gold Version ~ Nintendo DS NDS 3DS DSi DS Lite **NEW**,1585,Brand New,0,True,
Sony PlayStation 4- Assassin's Creed: The Ezio Collection NEW FACTORY SEALED,1555,Brand New,0,True,
Golden Eye 007 -- Nintendo 64 N64 ++NEW++,2085,Brand New,0,True,7
New ListingSonic Mania - Xbox One Game - Brand New - Free Shipping!,1649,Brand New,0,True,
Mike Tyson's Punch-Out! - Nintendo NES Game Authentic,4399,Pre-Owned,295,True,30
Instant Sports:Summer Games - Nintendo Switch,2999,Brand New,0,True,
Littlest Pet Shop: Garden - Nintendo DS Game Only,402,Pre-Owned,395,True,18
Cooking Mama Cookstar Nintendo Switch ,3345,Brand New,0,True,
Castlevania Portrait of Ruin/Order of Ecclesia/Dawn of Sorrow Nintendo Game DS,2299,Pre-Owned,0,True,5
"CRYSIS REMASTERED TRILOGY & ""BONUS ART CARD"" PlayStation 4 / PS4  NEW",2949,Brand New,0,True,65
Spyro Attack of the Rhynocs - Original Nintendo GBA Game,1649,Pre-Owned,295,True,3
Tales of Berseria - PS4 - Brand New | Factory Sealed,2199,Brand New,0,True,
CANVAS BOARD GAME,4999,Brand New,989,True,
Xenoblade Chronicles Definitive Edition - Nintendo Switch,3899,Brand New,0,True,393
PS3 Sony Playstation 3 Games Various Titles Disc Only You Choose Fast Shipping ,149,Pre-Owned,400,True,
AAA Games + Random Steam Keys [PC] - Region Free - GLOBAL - Fast Delivery,116,Brand New,0,True,
Popit Fidget Toy Push Bubble Sensory Stress Relief Kids Family Gift Game Rainbow,649,Brand New,0,True,
Injustice 2 (Microsoft Xbox One) Xbox One NEW & SEALED,999,Brand New,0,True,
x25 Random Steam Keys Video Game PC Global Fast Delivery + Bonus [Region-Free],399,Brand New,0,True,267
